COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
91,0,4398.461431,4342.563996,4270.256306,4326.15374,4280.512716,4270.769126,4258.974255,4295.897331,4232.307589,4261.025537,4206.153743,4276.922972,4319.487074,4277.435793,241,2058,2040,0,0,2407,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,4444.102455,4362.051175,4289.230664,4338.974253,4275.384511,4259.487075,4248.717845,4281.538357,4230.256307,4243.58964,4202.051179,4288.205023,4309.743484,4289.230664,223,2059,2039,0,0,2407,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,4477.948608,4380.512713,4296.922972,4354.871688,4273.333229,4258.974255,4252.307588,4275.384511,4229.230666,4226.153743,4199.999897,4297.435792,4298.461433,4296.922972,644,2059,2039,0,0,2407,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,4484.615275,4392.820405,4297.948613,4366.66656,4273.846049,4258.461434,4256.410152,4275.384511,4229.230666,4219.487076,4197.435795,4294.87169,4279.999895,4296.410151,869,2060,2039,0,0,2407,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,4476.410147,4392.307585,4295.897331,4362.051175,4276.410152,4259.999896,4257.948614,4275.384511,4231.794768,4225.128102,4196.922974,4292.307587,4265.640921,4296.410151,241,2059,2039,0,0,2407,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,4465.128096,4390.769123,4287.179382,4359.487073,4277.948613,4264.61528,4259.487075,4278.461434,4232.820409,4230.256307,4201.538359,4293.333228,4265.128101,4296.922972,223,2059,2039,0,0,2407,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,4448.71784,4386.153739,4278.974254,4355.384509,4273.846049,4259.999896,4258.461434,4282.051177,4230.769127,4230.256307,4200.512718,4286.153741,4269.230665,4294.358869,644,2058,2038,0,0,2407,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,4438.97425,4379.999893,4278.461434,4351.794765,4281.538357,4266.666562,4262.563998,4287.179382,4230.256307,4237.948614,4197.435795,4283.589639,4272.307588,4292.307587,869,2059,2039,0,0,2407,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,4444.615276,4377.43579,4286.666562,4368.205021,4306.666561,4302.051177,4286.666562,4304.615279,4234.358871,4266.666562,4207.179384,4301.025536,4288.205023,4293.846049,241,2061,2034,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,4452.307583,4375.384508,4293.333228,4383.589636,4329.230663,4330.769125,4304.102459,4326.15374,4234.358871,4295.897331,4218.461435,4314.871689,4307.179382,4296.410151,223,2061,2033,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
