COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
35,0,4180.512718,4171.281949,4181.538359,4195.384513,4202.564,4198.974256,4189.743487,4201.025538,4198.461436,4209.743487,4198.461436,4186.666564,4215.897333,4183.589641,0,2047,2047,0,0,2453,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,4173.333231,4170.256308,4179.487077,4192.30759,4198.461436,4190.769128,4182.564,4201.025538,4193.846051,4202.564,4198.974256,4186.153744,4219.487076,4183.589641,0,2047,2046,0,0,2453,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,4168.717847,4168.717847,4183.076821,4186.666564,4190.256308,4182.05118,4183.589641,4197.435795,4191.281949,4197.948615,4198.461436,4183.589641,4217.435794,4182.05118,0,2047,2046,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,4177.435795,4169.743488,4184.615282,4186.666564,4187.692205,4185.640923,4184.615282,4198.974256,4196.922974,4209.743487,4201.538359,4187.179385,4223.07682,4184.615282,0,2046,2046,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,4187.179385,4171.281949,4184.102462,4193.846051,4192.82041,4186.666564,4183.076821,4209.230666,4201.025538,4216.922974,4201.538359,4188.717846,4228.205025,4184.102462,0,2047,2048,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,4187.179385,4173.846052,4184.615282,4195.384513,4196.922974,4183.589641,4184.615282,4215.384512,4199.487077,4218.461435,4199.999897,4186.153744,4231.281948,4184.102462,0,2046,2047,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,4185.128103,4171.79477,4185.640923,4190.769128,4197.948615,4188.205026,4186.153744,4215.384512,4198.461436,4221.025538,4201.538359,4187.179385,4233.33323,4187.179385,0,2045,2046,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,4176.922975,4169.743488,4183.076821,4188.205026,4199.999897,4192.82041,4187.692205,4214.358871,4198.461436,4220.512717,4201.538359,4187.179385,4232.307589,4185.128103,0,2046,2047,0,0,2453,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,4172.30759,4176.922975,4180.512718,4191.281949,4200.512718,4192.82041,4189.230667,4208.205025,4199.999897,4217.948615,4201.538359,4184.615282,4230.256307,4184.102462,0,2044,2048,0,0,2453,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,4179.487077,4183.589641,4182.564,4194.358872,4199.999897,4193.333231,4188.717846,4203.07682,4201.025538,4215.897333,4199.487077,4185.128103,4228.205025,4186.153744,0,2044,2046,0,0,2453,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,4186.153744,4183.076821,4186.153744,4195.897333,4198.974256,4195.384513,4187.179385,4210.256307,4197.435795,4216.410153,4201.538359,4185.128103,4224.615281,4185.640923,0,2045,2047,0,0,2453,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,4186.153744,4183.076821,4187.179385,4199.999897,4201.538359,4194.871692,4188.205026,4214.871692,4198.974256,4219.999897,4211.281948,4187.179385,4222.563999,4184.615282,0,2046,2046,0,0,2453,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,4187.692205,4182.564,4186.666564,4196.922974,4197.948615,4190.256308,4189.743487,4205.640923,4202.051179,4216.922974,4211.281948,4190.256308,4218.974256,4185.640923,0,2045,2047,0,0,2453,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,4181.538359,4175.384513,4185.640923,4188.205026,4189.230667,4185.640923,4185.640923,4197.948615,4193.846051,4202.564,4199.999897,4182.05118,4211.281948,4185.640923,0,2045,2047,0,0,2454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,4168.205026,4170.256308,4184.102462,4182.05118,4188.205026,4185.128103,4186.666564,4201.538359,4187.692205,4201.538359,4198.461436,4175.384513,4208.717846,4184.102462,0,2044,2047,0,0,2454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,4170.769129,4171.79477,4182.564,4181.538359,4192.30759,4186.666564,4195.897333,4204.102461,4196.410154,4214.358871,4203.589641,4182.564,4214.871692,4183.589641,0,2044,2046,0,0,2454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,4186.666564,4176.410154,4183.589641,4185.640923,4193.846051,4189.743487,4199.999897,4207.179384,4204.102461,4220.512717,4202.564,4189.230667,4225.640922,4186.666564,0,2043,2048,0,0,2454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,4186.153744,4183.076821,4185.128103,4189.230667,4196.410154,4191.281949,4195.384513,4211.794769,4198.974256,4221.538358,4199.999897,4190.256308,4233.84605,4188.205026,0,2043,2047,0,0,2454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,4179.999898,4188.205026,4185.640923,4196.922974,4200.512718,4189.230667,4193.333231,4206.666564,4196.922974,4221.538358,4199.487077,4188.205026,4231.794768,4186.666564,0,2044,2045,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
