COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
36,0,4182.05118,4233.33323,4197.435795,4206.153743,4188.205026,4183.076821,4212.307589,4161.53836,4187.179385,4174.358872,4193.846051,4154.358873,4121.02554,4182.564,0,2047,2044,0,0,2428,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,4189.230667,4245.128101,4190.256308,4211.281948,4195.897333,4183.589641,4212.307589,4153.846052,4185.128103,4165.128103,4192.30759,4156.922975,4108.205028,4182.564,0,2046,2045,0,0,2428,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,4191.281949,4244.615281,4191.794769,4211.794769,4192.30759,4182.05118,4211.281948,4153.846052,4184.615282,4166.153744,4193.333231,4164.102462,4109.230669,4183.076821,0,2048,2044,0,0,2428,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,4182.05118,4234.871691,4199.487077,4205.640923,4182.564,4178.461436,4210.256307,4155.384514,4185.640923,4166.666565,4192.82041,4158.461437,4108.205028,4184.102462,0,2047,2044,0,0,2428,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,4181.538359,4238.974255,4201.025538,4205.128102,4189.230667,4182.564,4213.33323,4154.871693,4183.589641,4166.153744,4190.256308,4153.846052,4103.076823,4182.564,0,2048,2040,0,0,2428,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,4187.692205,4248.205024,4198.974256,4211.794769,4201.025538,4187.692205,4218.461435,4161.53836,4184.102462,4167.692206,4196.922974,4164.615283,4103.076823,4182.05118,0,2048,2042,0,0,2428,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,4186.666564,4243.076819,4199.487077,4211.281948,4198.974256,4188.205026,4219.999897,4170.769129,4186.153744,4170.769129,4201.538359,4170.769129,4113.846053,4184.102462,0,2049,2042,0,0,2428,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,4188.205026,4239.487076,4199.487077,4209.743487,4196.922974,4188.205026,4217.948615,4169.743488,4186.666564,4178.974257,4198.461436,4166.153744,4123.076822,4184.102462,0,2050,2041,0,0,2428,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,4193.333231,4247.692204,4202.051179,4216.410153,4201.538359,4188.717846,4215.384512,4167.179385,4186.153744,4188.205026,4200.512718,4168.717847,4127.179386,4183.076821,0,2050,2041,0,0,2428,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,4190.256308,4249.743486,4203.07682,4216.410153,4202.051179,4190.769128,4214.871692,4168.717847,4185.640923,4185.128103,4199.487077,4170.769129,4124.615284,4182.564,0,2049,2041,0,0,2428,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
