COUNTER,INTERPOL RAW_CQ,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
0,0,4180.512718,4704.61527,3921.538366,4217.435794,4124.615284,4544.615273,4545.640914,4642.051169,3922.051186,4214.871692,3996.922979,4073.846054,4614.358862,4892.307573,0,1686,1690,0,0,13369,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,4025.128107,4570.769119,3919.487084,4216.410153,4114.871694,4547.692196,4535.384504,4639.999887,3927.179391,4174.871693,3998.461441,4075.384516,4388.205021,4723.589628,0,1684,1688,0,0,13370,300,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3980.512723,4541.53835,3916.410161,4216.922974,4126.666566,4542.563991,4555.897324,4641.538348,3915.89734,4204.615282,4021.538363,4077.948618,4367.17938,4719.999885,0,1683,1693,0,0,13371,302,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3979.999903,4569.230657,3924.102468,4215.897333,4210.256307,4542.563991,4571.79476,4640.512707,3935.384519,4224.615281,4045.640927,4087.179387,4438.97425,4771.281935,0,1682,1694,0,0,13372,319,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,4032.307594,4596.922965,3926.666571,4216.922974,4218.461435,4541.53835,4587.692196,4643.58963,3931.794776,4250.256306,4053.846055,4085.640926,4444.102455,4782.051165,0,1684,1693,0,0,13373,320,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3972.820416,4553.846042,3926.666571,4215.384512,4196.922974,4544.102453,4565.128093,4645.640912,3940.512724,4221.025538,4017.94862,4083.589644,4413.333225,4753.333217,0,1682,1694,0,0,13374,336,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3951.794775,4549.230658,3920.512725,4215.897333,4169.743488,4541.02553,4552.820401,4643.07681,3938.461442,4239.999896,4024.615286,4083.076823,4394.871687,4762.051166,0,1683,1696,0,0,13375,350,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3999.487082,4562.563991,3920.512725,4215.897333,4207.179384,4541.53835,4556.410145,4643.07681,3941.538365,4253.333229,4064.102465,4086.666567,4403.076815,4770.256294,0,1684,1695,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,3996.410159,4571.281939,3922.564007,4213.846051,4199.487077,4542.563991,4538.974248,4642.051169,3940.512724,4230.769127,4052.820414,4081.538362,4267.179383,4753.333217,0,1683,1694,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,4025.640927,4578.974247,3926.15375,4215.384512,4204.102461,4542.051171,4579.487068,4647.692194,3940.512724,4245.640922,4054.871696,4088.205028,4352.307586,4764.615268,0,1685,1693,0,0,13378,356,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
0,0,4018.974261,4590.256298,3928.205032,4216.922974,4214.871692,4544.615273,4588.205016,4649.230656,3951.794775,4249.230665,4077.435798,4096.922977,4398.974251,4778.974242,0,1683,1693,0,0,13379,377,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,4211.794769,4692.820398,3918.461443,4216.410153,4138.974258,4546.153735,4522.051171,4637.948605,3911.281956,4172.30759,3983.589646,4073.333234,4600.512708,4842.051164,0,1686,1693,0,0,13369,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,4048.205029,4604.102452,3921.025545,4215.897333,4154.358873,4552.307581,4561.53835,4644.102451,3927.179391,4219.487076,4037.435799,4074.358875,4423.589635,4773.846037,0,1683,1689,0,0,13370,300,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3982.564005,4535.897325,3917.948622,4216.922974,4131.28195,4542.051171,4555.384504,4640.512707,3922.051186,4181.025539,4024.102466,4076.410157,4365.128098,4750.256294,0,1683,1694,0,0,13371,302,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3934.358878,4534.871684,3922.564007,4215.897333,4145.128104,4542.051171,4541.53835,4641.025528,3925.128109,4196.922974,4008.717851,4081.025541,4406.666559,4693.333219,0,1683,1693,0,0,13372,319,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,4051.281952,4601.538349,3926.15375,4216.922974,4255.384511,4539.999889,4588.205016,4642.051169,3929.743494,4241.538358,4065.640926,4086.153746,4448.71784,4823.589626,0,1684,1693,0,0,13373,320,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3968.717852,4544.615273,3925.64093,4215.384512,4192.30759,4539.999889,4559.487068,4642.563989,3934.871699,4222.563999,4016.410158,4084.102464,4403.589636,4756.41014,0,1683,1693,0,0,13374,336,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3950.769134,4550.256299,3922.564007,4215.384512,4177.435795,4538.974248,4555.384504,4643.58963,3939.487083,4226.666563,4018.974261,4083.589644,4388.205021,4741.025525,0,1682,1695,0,0,13375,350,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3971.794775,4545.128094,3922.564007,4216.410153,4189.230667,4539.999889,4551.79476,4641.538348,3940.512724,4232.307589,4045.640927,4083.589644,4389.230662,4727.692192,0,1684,1694,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,3994.871697,4561.53835,3919.999904,4213.846051,4178.461436,4542.051171,4541.53835,4641.538348,3944.102468,4231.794768,4045.128106,4081.538362,4263.589639,4745.64091,0,1684,1691,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,4018.974261,4573.333222,3927.692212,4215.897333,4211.281948,4541.53835,4582.05117,4642.563989,3944.102468,4238.974255,4053.846055,4090.25631,4337.435791,4751.794756,0,1683,1695,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
1,0,4009.743492,4589.230657,3929.230673,4216.922974,4194.358872,4544.102453,4589.230657,4650.256297,3948.717852,4258.461434,4071.794772,4096.410156,4400.512713,4814.358857,0,1682,1694,0,0,13379,377,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,4173.846052,4643.58963,3917.948622,4216.410153,4054.871696,4545.640914,4492.307582,4637.948605,3913.846058,4147.179386,3948.205032,4068.205029,4559.487068,4832.307574,451,1687,1693,0,0,13369,323,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2,0,4036.922978,4561.53835,3918.974263,4215.384512,4116.410156,4550.769119,4532.307581,4637.948605,3910.769135,4179.999898,4004.615287,4069.23067,4386.153739,4782.563986,454,1684,1689,0,0,13370,300,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,4019.487081,4576.922965,3921.538366,4217.435794,4151.28195,4543.589632,4582.563991,4645.128092,3927.179391,4204.615282,4058.97426,4078.461439,4406.153738,4796.410139,456,1684,1693,0,0,13371,302,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,3931.281955,4502.563992,3919.487084,4216.410153,4113.333233,4541.53835,4520.51271,4640.512707,3923.076827,4166.153744,3983.589646,4078.461439,4375.897329,4702.563988,456,1682,1693,0,0,13372,319,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,3997.94862,4573.846042,3924.615289,4215.897333,4225.128102,4541.53835,4567.179375,4641.538348,3927.692212,4222.051179,4025.128107,4082.564003,4415.384507,4757.948602,462,1684,1692,0,0,13373,320,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
