COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
27,0,0,4030.25641025641,4569.23076923077,4054.35897435898,4253.84615384615,4216.92307692308,4476.41025641026,4563.07692307692,4664.10256410256,4073.84615384615,4248.71794871795,4004.10256410256,3976.92307692308,4291.79487179487,4760,1676,1697,0.594,0.0312768779695034,0,0,0,0,
28,0,0,4026.15384615385,4566.66666666667,4053.84615384615,4247.17948717949,4216.41025641026,4475.38461538462,4561.53846153846,4662.5641025641,4068.71794871795,4248.20512820513,4003.07692307692,3979.48717948718,4289.23076923077,4753.33333333333,1676,1698,0.602,0.0312768779695034,0,0,0,0,
29,0,0,4033.84615384615,4569.23076923077,4051.79487179487,4253.33333333333,4217.94871794872,4474.35897435897,4575.89743589744,4663.07692307692,4066.15384615385,4251.28205128205,4003.07692307692,3982.05128205128,4287.69230769231,4751.28205128205,1675,1698,0.61,0.0312768779695034,0,0,0,0,
30,0,0,4037.94871794872,4572.30769230769,4051.28205128205,4263.07692307692,4221.02564102564,4476.92307692308,4579.48717948718,4663.07692307692,4072.30769230769,4253.33333333333,4003.58974358974,3981.53846153846,4288.71794871795,4755.89743589744,1675,1698,0.617,0.0312768779695034,0,0,0,0,
31,0,0,4018.46153846154,4558.97435897436,4043.58974358974,4250.25641025641,4215.38461538462,4476.41025641026,4566.15384615385,4663.07692307692,4064.61538461539,4242.5641025641,3990.25641025641,3978.46153846154,4275.38461538462,4742.05128205128,1676,1697,0.625,0.0312768779695034,0,0,0,0,
32,0,0,3992.30769230769,4539.48717948718,4028.71794871795,4227.17948717949,4204.10256410256,4470.76923076923,4563.58974358974,4663.07692307692,4048.71794871795,4219.48717948718,3967.69230769231,3976.41025641026,4248.20512820513,4713.84615384615,1675,1697,0.633,0.0312768779695034,0,0,0,0,
33,0,0,3978.97435897436,4531.79487179487,4022.05128205128,4215.89743589744,4197.4358974359,4472.30769230769,4563.58974358974,4663.07692307692,4046.66666666667,4208.20512820513,3952.30769230769,3977.4358974359,4225.12820512821,4701.02564102564,1676,1698,0.641,0.0312768779695034,0,0,0,0,
34,0,0,3987.17948717949,4535.38461538462,4031.79487179487,4218.97435897436,4201.53846153846,4476.92307692308,4557.4358974359,4663.07692307692,4055.89743589744,4221.53846153846,3961.02564102564,3977.94871794872,4231.79487179487,4711.28205128205,1675,1696,0.649,0.0312768779695034,0,0,0,0,
35,0,0,4011.79487179487,4547.17948717949,4046.66666666667,4234.8717948718,4210.25641025641,4476.41025641026,4560.51282051282,4663.07692307692,4072.30769230769,4242.05128205128,3989.23076923077,3978.46153846154,4265.12820512821,4735.89743589744,1675,1698,0.657,0.0312768779695034,0,0,0,0,
36,0,0,4035.38461538462,4565.64102564103,4058.97435897436,4257.94871794872,4224.10256410256,4477.4358974359,4579.48717948718,4663.07692307692,4090.76923076923,4260,4008.20512820513,3983.07692307692,4289.74358974359,4758.46153846154,1676,1697,0.664,0.0312768779695034,0,0,0,0,
