COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
3,0,493,4047.17948717949,4507.17948717949,3988.20512820513,4287.17948717949,4169.23076923077,4475.89743589744,4557.94871794872,4661.53846153846,4069.23076923077,4234.35897435897,4046.66666666667,4142.05128205128,4391.79487179487,4856.92307692308,1682,1692,0.905,0,0,0,0,0,
4,0,514,4041.53846153846,4501.53846153846,3985.12820512821,4283.07692307692,4167.69230769231,4470.76923076923,4550.25641025641,4657.4358974359,4056.92307692308,4227.17948717949,4044.10256410256,4122.05128205128,4383.07692307692,4853.33333333333,1682,1694,0.905,0,0,0,0,0,
5,0,504,4049.74358974359,4508.20512820513,3991.28205128205,4286.66666666667,4168.71794871795,4472.30769230769,4555.89743589744,4651.28205128205,4058.46153846154,4227.17948717949,4047.17948717949,4135.38461538462,4387.69230769231,4872.82051282051,1682,1693,0.905,0,0,0,0,0,
6,0,484,4056.92307692308,4509.74358974359,3998.97435897436,4291.28205128205,4169.23076923077,4471.79487179487,4564.61538461538,4653.33333333333,4069.74358974359,4228.71794871795,4049.23076923077,4137.4358974359,4387.69230769231,4878.97435897436,1681,1694,0.905,0,0,0,0,0,
7,0,0,4072.82051282051,4516.92307692308,4013.33333333333,4298.97435897436,4171.79487179487,4474.8717948718,4576.92307692308,4657.4358974359,4082.05128205128,4245.64102564103,4048.71794871795,4141.53846153846,4387.17948717949,4873.84615384615,1682,1693,0.943,0.0312768779695034,0,0,0,0,
8,0,380,4087.17948717949,4527.17948717949,4030.25641025641,4307.17948717949,4184.61538461538,4481.53846153846,4587.17948717949,4655.38461538462,4089.23076923077,4273.33333333333,4050.76923076923,4170.76923076923,4399.48717948718,4883.07692307692,1682,1693,0.943,0.0312768779695034,0,0,0,0,
9,0,448,4083.58974358974,4525.64102564103,4031.79487179487,4307.17948717949,4190.76923076923,4480,4586.15384615385,4655.38461538462,4089.23076923077,4278.46153846154,4051.28205128205,4176.41025641026,4407.17948717949,4887.17948717949,1682,1692,0.943,0.0312768779695034,0,0,0,0,
10,0,439,4078.97435897436,4526.15384615385,4026.66666666667,4305.12820512821,4177.94871794872,4479.48717948718,4587.17948717949,4656.92307692308,4092.82051282051,4270.25641025641,4050.76923076923,4163.07692307692,4407.17948717949,4871.79487179487,1682,1692,0.943,0.0312768779695034,0,0,0,0,
11,0,458,4068.20512820513,4522.5641025641,4017.4358974359,4301.02564102564,4166.66666666667,4476.92307692308,4580,4654.8717948718,4091.28205128205,4265.64102564103,4048.71794871795,4157.4358974359,4403.07692307692,4852.30769230769,1683,1692,0.943,0.0312768779695034,0,0,0,0,
12,0,13,4044.61538461539,4506.15384615385,3995.89743589744,4287.69230769231,4170.76923076923,4466.15384615385,4560,4654.35897435897,4070.76923076923,4244.61538461538,4042.5641025641,4127.69230769231,4388.20512820513,4844.10256410256,1682,1692,0.981,0.0312768779695034,0,0,0,0,
13,0,485,4040,4502.05128205128,3983.58974358974,4283.58974358974,4175.89743589744,4464.61538461538,4555.89743589744,4653.84615384615,4054.8717948718,4223.58974358974,4040,4097.94871794872,4376.41025641026,4851.28205128205,1683,1693,0.981,0.0312768779695034,0,0,0,0,
14,0,439,4048.71794871795,4505.64102564103,3986.66666666667,4286.66666666667,4172.30769230769,4467.69230769231,4562.5641025641,4653.84615384615,4060,4225.12820512821,4042.05128205128,4110.25641025641,4378.97435897436,4864.61538461539,1683,1692,0.981,0.0312768779695034,0,0,0,0,
15,0,458,4042.5641025641,4497.4358974359,3986.66666666667,4282.5641025641,4166.66666666667,4462.05128205128,4554.35897435897,4658.97435897436,4061.53846153846,4226.66666666667,4043.07692307692,4121.53846153846,4380.51282051282,4863.07692307692,1682,1693,0.981,0.0312768779695034,0,0,0,0,
16,0,0,4040,4496.41025641026,3986.66666666667,4282.5641025641,4166.66666666667,4454.35897435897,4547.17948717949,4663.58974358974,4056.92307692308,4227.17948717949,4041.53846153846,4112.30769230769,4382.05128205128,4852.30769230769,1682,1692,0.981,0.0312768779695034,0,0,0,0,
17,0,0,4052.82051282051,4507.17948717949,4002.05128205128,4291.28205128205,4175.38461538462,4456.92307692308,4561.02564102564,4658.46153846154,4069.74358974359,4244.10256410256,4042.5641025641,4127.17948717949,4393.33333333333,4862.5641025641,1682,1695,1.018,0.0312768779695034,0,0,0,0,
18,0,0,4064.10256410256,4510.25641025641,4016.92307692308,4297.4358974359,4187.17948717949,4468.20512820513,4581.02564102564,4655.38461538462,4089.23076923077,4257.94871794872,4047.17948717949,4162.05128205128,4401.53846153846,4884.61538461539,1683,1695,1.018,0.0312768779695034,0,0,0,0,
19,0,0,4067.17948717949,4509.23076923077,4023.58974358974,4296.92307692308,4189.74358974359,4477.4358974359,4589.23076923077,4658.46153846154,4090.76923076923,4258.46153846154,4047.69230769231,4170.76923076923,4401.53846153846,4887.17948717949,1682,1694,1.018,0.0312768779695034,0,0,0,0,
20,0,0,4061.02564102564,4510.76923076923,4022.05128205128,4292.82051282051,4179.48717948718,4472.30769230769,4580.51282051282,4660.51282051282,4080,4266.66666666667,4045.64102564103,4151.28205128205,4397.4358974359,4861.53846153846,1682,1693,1.018,0.0312768779695034,0,0,0,0,
21,0,0,4050.25641025641,4501.53846153846,4010.25641025641,4283.58974358974,4171.28205128205,4457.94871794872,4569.74358974359,4659.48717948718,4070.25641025641,4262.05128205128,4044.61538461539,4128.71794871795,4385.12820512821,4832.82051282051,1682,1692,1.018,0.0312768779695034,0,0,0,0,
22,0,0,4040.51282051282,4490.25641025641,4002.05128205128,4278.97435897436,4170.25641025641,4461.02564102564,4577.4358974359,4656.41025641026,4067.69230769231,4233.84615384615,4041.53846153846,4123.58974358974,4371.28205128205,4829.74358974359,1682,1691,1.055,0.0312768779695034,0,0,0,0,
23,0,0,4035.38461538462,4491.79487179487,4004.10256410256,4283.07692307692,4166.66666666667,4469.74358974359,4584.10256410256,4656.92307692308,4068.71794871795,4227.69230769231,4040,4124.10256410256,4371.79487179487,4843.07692307692,1682,1691,1.055,0.0312768779695034,0,0,0,0,
24,0,0,4035.38461538462,4490.76923076923,3998.46153846154,4281.53846153846,4168.71794871795,4463.07692307692,4572.30769230769,4661.53846153846,4062.5641025641,4245.64102564103,4042.5641025641,4113.84615384615,4378.46153846154,4845.64102564103,1682,1692,1.055,0.0312768779695034,0,0,0,0,
25,0,0,4039.48717948718,4484.61538461538,3989.74358974359,4278.97435897436,4181.02564102564,4455.89743589744,4566.15384615385,4658.97435897436,4055.38461538462,4240,4042.5641025641,4110.76923076923,4378.97435897436,4838.46153846154,1681,1691,1.055,0.0312768779695034,0,0,0,0,
26,0,0,4049.74358974359,4496.92307692308,4001.02564102564,4282.5641025641,4190.76923076923,4465.12820512821,4572.30769230769,4656.92307692308,4060.51282051282,4225.12820512821,4044.10256410256,4128.20512820513,4384.10256410256,4854.35897435897,1681,1693,1.055,0.0312768779695034,0,0,0,0,
27,0,0,4058.46153846154,4511.28205128205,4015.89743589744,4283.07692307692,4188.20512820513,4474.35897435897,4570.25641025641,4663.07692307692,4067.69230769231,4237.94871794872,4050.76923076923,4143.58974358974,4397.4358974359,4879.48717948718,1682,1692,1.092,0.0312768779695034,0,0,0,0,
28,0,0,4059.48717948718,4510.76923076923,4017.94871794872,4279.48717948718,4186.15384615385,4478.97435897436,4569.23076923077,4660.51282051282,4071.79487179487,4258.46153846154,4051.28205128205,4145.12820512821,4405.12820512821,4877.94871794872,1680,1694,1.092,0.0312768779695034,0,0,0,0,
29,0,0,4065.12820512821,4521.53846153846,4028.20512820513,4286.15384615385,4195.89743589744,4488.71794871795,4585.12820512821,4652.82051282051,4084.61538461539,4273.33333333333,4048.71794871795,4154.8717948718,4411.28205128205,4869.74358974359,1682,1694,1.092,0.0312768779695034,0,0,0,0,
30,0,0,4084.10256410256,4541.53846153846,4045.64102564103,4295.38461538462,4201.02564102564,4496.41025641026,4597.94871794872,4655.89743589744,4096.92307692308,4280.51282051282,4054.8717948718,4167.69230769231,4427.17948717949,4875.38461538462,1681,1695,1.092,0.0312768779695034,0,0,0,0,
31,0,0,4094.8717948718,4546.15384615385,4051.28205128205,4297.94871794872,4194.8717948718,4494.8717948718,4597.94871794872,4661.02564102564,4096.41025641026,4275.89743589744,4060.51282051282,4176.41025641026,4435.38461538462,4878.46153846154,1682,1696,1.13,0.0312768779695034,0,0,0,0,
32,0,0,4083.07692307692,4539.48717948718,4045.64102564103,4297.94871794872,4185.12820512821,4494.35897435897,4591.28205128205,4658.97435897436,4089.74358974359,4267.17948717949,4057.94871794872,4175.38461538462,4424.10256410256,4873.84615384615,1682,1695,1.13,0.0312768779695034,0,0,0,0,
33,0,0,4063.58974358974,4526.15384615385,4029.23076923077,4289.23076923077,4170.76923076923,4492.30769230769,4577.4358974359,4658.97435897436,4078.46153846154,4251.28205128205,4051.79487179487,4141.53846153846,4402.5641025641,4866.66666666667,1682,1695,1.13,0.0312768779695034,0,0,0,0,
34,0,0,4047.17948717949,4506.66666666667,4003.07692307692,4273.33333333333,4154.8717948718,4488.20512820513,4566.66666666667,4659.48717948718,4064.10256410256,4232.30769230769,4049.23076923077,4093.84615384615,4384.10256410256,4836.92307692308,1682,1695,1.13,0.0312768779695034,0,0,0,0,
35,0,0,4043.58974358974,4503.58974358974,3995.89743589744,4270.25641025641,4153.33333333333,4490.25641025641,4570.25641025641,4657.4358974359,4063.07692307692,4226.15384615385,4052.30769230769,4091.28205128205,4378.97435897436,4811.79487179487,1682,1695,1.13,0.0312768779695034,0,0,0,0,
36,0,0,4048.20512820513,4511.79487179487,4004.10256410256,4278.97435897436,4154.35897435897,4493.33333333333,4571.79487179487,4658.97435897436,4072.30769230769,4234.35897435897,4051.79487179487,4108.71794871795,4382.5641025641,4831.79487179487,1683,1694,1.168,0.0312768779695034,0,0,0,0,
37,0,0,4044.61538461539,4506.15384615385,3995.89743589744,4276.92307692308,4145.64102564103,4493.33333333333,4558.97435897436,4659.48717948718,4075.38461538462,4237.4358974359,4048.71794871795,4096.41025641026,4378.46153846154,4846.15384615385,1684,1694,1.168,0.0312768779695034,0,0,0,0,
38,0,0,4040.51282051282,4502.5641025641,3985.12820512821,4268.71794871795,4145.64102564103,4489.23076923077,4552.82051282051,4657.4358974359,4072.82051282051,4221.53846153846,4051.79487179487,4094.35897435898,4378.97435897436,4830.76923076923,1683,1695,1.168,0.0312768779695034,0,0,0,0,
39,0,0,4051.28205128205,4513.33333333333,3998.46153846154,4272.30769230769,4159.48717948718,4489.74358974359,4563.07692307692,4660,4077.4358974359,4213.84615384615,4054.8717948718,4115.89743589744,4401.02564102564,4835.89743589744,1683,1695,1.168,0.0312768779695034,0,0,0,0,
40,0,0,4070.25641025641,4525.64102564103,4020,4283.58974358974,4169.23076923077,4501.02564102564,4579.48717948718,4661.53846153846,4089.23076923077,4245.12820512821,4053.33333333333,4124.61538461538,4422.05128205128,4862.05128205128,1683,1695,1.168,0.0312768779695034,0,0,0,0,
41,0,0,4082.05128205128,4532.82051282051,4033.33333333333,4291.28205128205,4172.30769230769,4511.79487179487,4591.28205128205,4660,4097.94871794872,4282.05128205128,4055.89743589744,4130.25641025641,4421.53846153846,4870.25641025641,1683,1695,1.206,0.0312768779695034,0,0,0,0,
42,0,0,4084.61538461539,4536.41025641026,4037.4358974359,4294.35897435897,4173.33333333333,4511.79487179487,4593.84615384615,4657.94871794872,4098.46153846154,4275.89743589744,4058.46153846154,4140.51282051282,4413.84615384615,4866.66666666667,1682,1694,1.206,0.0312768779695034,0,0,0,0,
43,0,0,4086.66666666667,4537.4358974359,4033.84615384615,4296.41025641026,4173.33333333333,4508.71794871795,4587.69230769231,4658.46153846154,4093.33333333333,4263.58974358974,4053.84615384615,4132.82051282051,4409.23076923077,4856.92307692308,1683,1694,1.206,0.0312768779695034,0,0,0,0,
